actual,ae_semi_supervised,ae_supervised,mlp_prob
0,7.358537e-06,8.64867e-06,0.029769335
0,3.4758743e-06,3.8371018e-06,0.2125269
0,5.039205e-06,6.7420347e-06,0.26834026
0,6.1912856e-06,5.8719284e-06,0.050205313
0,5.483871e-06,3.3400433e-06,0.016775994
0,4.6145483e-06,6.5850695e-06,0.034661777
0,2.9387467e-05,2.5836182e-05,0.10966883
0,4.7522917e-06,5.539884e-06,0.030582387
0,1.2595466e-05,1.24377375e-05,0.6253528
0,5.001529e-06,5.0753238e-06,0.047184665
0,3.0820968e-06,3.3628799e-06,0.15999101
0,5.381579e-06,6.2439003e-06,0.21124087
0,3.5311184e-06,5.8133573e-06,0.040443365
0,1.5436888e-05,1.5784002e-05,0.1991244
0,5.4189763e-06,7.38341e-06,0.18667573
0,1.428801e-05,1.3155986e-05,0.2630432
0,5.8620835e-06,7.823495e-06,0.078967825
0,3.618967e-06,4.18078e-06,0.05451365
0,5.8898145e-06,5.3093363e-06,0.0012343004
0,3.984269e-06,2.8286622e-06,0.031487796
1,1.2406362e-05,1.0982106e-05,0.39449385
0,3.8895396e-06,5.360308e-06,0.037639257
0,4.005714e-06,5.2361265e-06,0.041446216
1,1.5137591e-05,1.5107912e-05,0.38512218
0,6.525677e-06,6.6363996e-06,0.07412078
0,5.5889236e-06,6.294881e-06,0.04995083
0,3.1049517e-06,2.9546102e-06,0.08137474
0,6.1391797e-06,8.3424475e-06,0.06810627
0,4.427695e-06,4.498958e-06,0.05274271
0,7.9241645e-06,9.391166e-06,0.0007170109
0,2.469841e-06,3.975328e-06,0.023779659
0,8.592864e-06,1.0352893e-05,0.0010183128
0,7.589953e-06,9.722613e-06,0.062299006
0,2.6928599e-06,4.1077105e-06,0.024612095
0,7.86431e-06,1.0000795e-05,0.13796352
0,6.454379e-06,9.149696e-06,0.23764074
0,4.2425468e-06,5.4966226e-06,0.35260254
0,4.175428e-06,4.736762e-06,0.09757711
0,5.353069e-06,6.1882342e-06,0.010531659
0,4.3355685e-06,2.4649416e-06,0.037813965
0,3.4759137e-06,5.8249107e-06,0.023962982
1,5.302785e-06,5.2049118e-06,0.25744924
0,4.636289e-06,6.7332335e-06,0.0087469295
0,4.3401683e-06,6.965729e-06,0.036530275
0,6.4527467e-06,5.5748505e-06,0.3669234
0,1.8835775e-05,1.8531238e-05,0.69507354
1,7.3059755e-06,8.3844225e-06,0.45304254
0,3.4644045e-06,4.3129526e-06,0.027530635
0,2.3267025e-06,3.99032e-06,0.02321403
0,5.0679337e-06,7.1962645e-06,0.02920154
0,3.850279e-06,5.6284466e-06,0.027521553
0,4.6049927e-06,5.7524253e-06,0.075019956
0,1.1824355e-05,1.351873e-05,0.30143782
0,8.271028e-06,7.618351e-06,0.036969516
1,0.00024519349,0.00023135311,0.2786176
0,2.5593085e-06,3.8908333e-06,0.24793471
0,6.403248e-06,9.541056e-06,0.03628003
0,3.5610065e-06,3.070072e-06,0.096919976
0,3.8372086e-06,4.057377e-06,0.008111413
0,6.0002544e-06,6.5330996e-06,0.0030357246
0,4.282192e-06,7.916377e-06,0.021123808
0,6.3353714e-06,9.708634e-06,0.045832198
0,3.6391564e-06,4.059875e-06,0.1170585
0,4.9510277e-06,5.5360238e-06,0.022789937
0,3.513967e-06,3.7760904e-06,0.20506953
0,5.347801e-06,5.65171e-06,0.122442126
0,4.2923016e-06,5.647494e-06,0.039433207
0,4.3798427e-06,6.1028354e-06,0.024840575
0,4.030026e-06,2.6250327e-06,0.10161524
0,1.673587e-05,1.8072727e-05,0.08667495
0,5.7336915e-06,6.4525184e-06,0.08074026
0,7.640914e-06,9.01552e-06,0.08891044
0,1.1931127e-05,1.01842825e-05,0.14919895
0,4.3877562e-06,3.305249e-06,0.46222138
0,4.341658e-06,6.1301193e-06,0.031525515
0,4.155352e-06,6.5659156e-06,0.049586855
0,3.5402097e-06,5.338459e-06,0.03390509
0,4.2537235e-06,3.081432e-06,0.014325121
0,5.2847e-06,8.4818175e-06,0.024824478
0,7.680789e-06,7.084033e-06,0.19080573
0,3.5614828e-06,4.5018555e-06,0.023606079
0,4.4869507e-06,5.8743576e-06,0.006055289
0,5.9700137e-06,5.4746474e-06,0.11855211
0,2.8208137e-06,5.463432e-06,0.025543923
0,5.9835374e-06,4.002125e-06,0.07249592
0,4.8094507e-06,4.1297835e-06,0.4493715
0,3.6337788e-06,6.4437695e-06,0.039326116
0,5.223428e-06,4.2770803e-06,0.49094188
0,6.944665e-06,5.502627e-06,0.45635265
1,0.00023827546,0.00023905293,0.50991446
0,5.413365e-06,5.1835086e-06,0.027838128
0,4.472569e-06,5.9896183e-06,0.030902833
0,5.3516396e-06,8.453152e-06,0.044326525
1,2.072486e-05,1.9573772e-05,0.6300065
0,4.3807922e-06,6.6984944e-06,0.020907776
1,1.9796811e-05,1.7246013e-05,0.8546149
0,2.3266025e-06,2.9107935e-06,0.0028468312
0,4.747053e-06,5.106817e-06,0.038371887
0,5.015614e-06,5.9199037e-06,0.02174784
1,2.218176e-05,1.9470484e-05,0.8835818
0,5.890429e-06,5.8106284e-06,0.053628046
0,2.6561559e-06,2.731263e-06,0.084370136
0,5.1799693e-06,4.719342e-06,0.24195372
0,5.02697e-06,4.185705e-06,0.04735792
0,3.34405e-06,2.2122124e-06,0.2544254
0,4.4943354e-06,3.923016e-06,0.17744663
0,3.874647e-06,4.5674306e-06,0.0990456
0,2.8993786e-06,4.8957586e-06,0.01960837
0,2.6207895e-06,2.6014366e-06,0.32288387
1,1.3288481e-05,1.1583374e-05,0.63158214
1,1.7572722e-05,1.5823463e-05,0.93893653
1,2.1926195e-05,2.0305983e-05,0.9393113
1,3.1206e-05,2.4640549e-05,0.9203034
0,7.605434e-05,6.641353e-05,0.93550605
0,1.5213334e-05,1.4467854e-05,0.4408365
0,2.8185086e-06,4.200218e-06,0.0974145
0,8.413656e-06,8.443298e-06,0.079782635
0,1.0208197e-05,9.608042e-06,0.17639741
0,8.547696e-06,1.0639186e-05,0.07110447
0,4.4505973e-06,4.731813e-06,0.050863866
0,3.0406054e-06,3.33596e-06,0.11266563
0,1.2334796e-06,2.1297344e-06,0.012792289
0,4.2763145e-06,5.147641e-06,0.03777475
0,4.590286e-06,6.2509034e-06,0.06892353
0,4.6371456e-06,6.031918e-06,0.06301214
0,3.561072e-06,4.107598e-06,0.062368434
0,1.17923155e-05,1.2875407e-05,0.5965105
0,6.293232e-06,5.9008644e-06,0.07304913
0,6.805447e-06,7.6099655e-06,0.12432478
0,3.2434696e-06,4.4953968e-06,0.006231652
0,9.289546e-06,7.367609e-06,0.0073074074
0,6.1079786e-06,5.6357667e-06,0.3369238
0,7.816501e-06,5.76039e-06,0.38511765
0,4.9338278e-06,7.681688e-06,0.021372817
0,1.389512e-05,1.21026105e-05,0.026636628
0,3.18643e-06,4.5429474e-06,0.04024125
0,1.2984379e-05,1.49971975e-05,0.06727887
0,1.4793481e-05,1.5307127e-05,0.08793537
0,5.927534e-06,6.4402157e-06,0.26675254
0,5.1411967e-06,4.485177e-06,0.17777824
0,4.5892657e-06,5.2671053e-06,0.03366139
0,2.2148042e-06,3.2025512e-06,0.10018028
0,3.7584355e-06,2.9276084e-06,0.0033056287
0,5.7653033e-06,2.382799e-06,0.13836172
0,9.368411e-06,9.7309485e-06,0.014775643
0,9.496237e-06,9.81417e-06,0.10980952
0,4.272083e-06,4.7545227e-06,0.11037433
0,1.7852459e-05,1.7805261e-05,0.7272692
0,5.1328957e-06,4.2314173e-06,0.054167245
0,5.9344147e-06,5.493933e-06,0.068283655
0,3.387792e-06,4.009908e-06,0.08817131
0,1.8597457e-06,2.2290933e-06,0.044912077
0,5.012627e-06,5.0562485e-06,0.06675459
0,5.536697e-06,6.254027e-06,0.042141993
0,3.629746e-06,3.4879622e-06,0.021475146
0,4.152871e-06,6.2039317e-06,0.032206003
0,3.8123464e-06,3.613823e-06,0.133256
0,8.686283e-06,8.325112e-06,0.26773447
0,9.803823e-06,1.1220583e-05,0.06033174
0,5.670962e-06,5.848271e-06,0.052959733
0,4.046334e-06,5.8121755e-06,0.13787088
0,3.3108583e-06,4.21414e-06,0.0056542894
0,4.431202e-06,3.5995745e-06,0.031242566
0,6.709165e-06,5.0227404e-06,0.17219955
0,6.4779156e-06,6.843299e-06,0.11294214
0,1.3764611e-05,1.1029496e-05,0.68480605
0,1.1480929e-05,1.2298282e-05,0.09950876
0,4.1672224e-06,6.2010554e-06,0.03648062
0,6.1565074e-06,7.3243814e-06,0.06958757
0,3.6872643e-06,4.5014326e-06,0.10832943
0,3.4373627e-06,2.065984e-06,0.108152725
0,3.6632541e-06,3.59202e-06,0.079159684
0,3.7424987e-05,3.0858013e-05,0.2827252
0,7.0935876e-06,7.947406e-06,0.31642118
0,4.5511574e-06,4.5241372e-06,0.21273232
0,2.1724072e-06,1.7996709e-06,0.030790048
0,3.259602e-06,3.6589056e-06,0.16896379
0,6.3541247e-06,4.763396e-06,0.32733667
0,3.8663175e-06,3.9038823e-06,0.03918102
0,3.3072097e-06,4.9085015e-06,0.0333542
0,2.1830376e-06,1.7995727e-06,0.6483506
0,1.1035969e-05,1.1975107e-05,0.008737811
0,5.4430247e-06,6.035527e-06,0.04721479
0,4.9575096e-06,4.2785e-06,0.160053
0,1.7359529e-06,2.7215792e-06,0.05854552
0,5.8628552e-06,6.5767363e-06,0.0097012725
0,2.5266115e-06,3.5745895e-06,0.37917507
0,4.4413237e-06,6.4868605e-06,0.004764479
0,2.623206e-06,4.434735e-06,0.021589683
0,1.1725838e-05,1.2371471e-05,0.23925272
0,7.253751e-06,6.532468e-06,0.015963467
0,3.1320084e-05,2.519561e-05,0.35938033
0,3.0105632e-06,5.0857184e-06,0.06491966
0,5.598268e-06,7.2876533e-06,0.20110208
0,4.317498e-06,3.990955e-06,0.086794145
0,4.652947e-06,5.5436212e-06,0.032362353
0,5.1581915e-06,9.419524e-06,0.032402333
0,2.6917169e-06,3.842511e-06,0.016151046
0,4.5026758e-05,3.7941194e-05,0.019794738
0,5.74429e-06,9.017295e-06,0.13262726
0,3.4758013e-05,2.8386821e-05,0.4210959
0,9.4901225e-06,1.49909865e-05,0.15487517
0,1.9982404e-05,1.7882674e-05,0.55071414
0,5.0928866e-06,3.9120055e-06,0.08851764
0,2.9519158e-06,3.0693545e-06,0.20593938
0,4.074378e-06,4.7311364e-06,0.0198701
0,5.712139e-06,5.344275e-06,0.0737403
