,actual,lgb,xgb,iso,lof,ae_semi_supervised,ae_supervised,mlp_prob,prob
34902,0,0.9999870491892604,0.9934958,0.2059611962397631,0.13469023,0.077019565,0.060329188,0.95096785,0.9999870491892604
36633,0,0.999985465739721,0.9980813,0.2368639240816715,0.101501524,0.07441988,0.058792166,0.9751245,0.999985465739721
34911,0,0.99998041236041,0.99706155,0.2454760421787268,0.48900932,1.3334223,1.1683306,0.9331679,0.99998041236041
36636,0,0.99997525786255,0.9987104,0.2532161956890774,0.24199909,0.8147461,0.5965639,0.98359525,0.99997525786255
36635,0,0.9999741292468012,0.99886715,0.2409786261859722,0.21256989,0.8126831,0.67568016,0.94886726,0.9999741292468012
36639,0,0.999965671285938,0.988429,0.2758555016941914,0.33410352,0.98380756,0.65591437,0.9957444,0.999965671285938
34906,0,0.9999641471994856,0.9968014,0.2101093529772714,0.25160986,0.86624485,0.7183501,0.8955207,0.9999641471994856
80740,0,0.9999629207327924,0.99621564,0.2035627971174626,0.28784746,0.11832689,0.0877633,0.9848236,0.9999629207327924
34917,0,0.9999551695946028,0.9514109,0.2342453287331015,1.0225883,2.337084,2.2571678,0.97591996,0.9999551695946028
79859,0,0.9999132937858246,0.99654204,0.2029610582988781,0.3845635,0.15259989,0.1289442,0.9808029,0.9999132937858246
