actual,lgb_base,lgb_eng,lgb,xgb,iso,lof,ae_semi_supervised,ae_supervised,mlp_prob,prob
1,0.0008526035604942,0.0008526035604942,0.999999999999856,2.6415995e-05,0.0239024390421966,222.56186,0.015658243,0.02849144,0.007948688,2.6415995e-05
1,0.0009826809594648,0.0009826809594648,0.999999999999512,7.206765e-05,0.0260173771893484,264.21887,0.0060136495,0.011582594,0.08064248,7.206765e-05
1,0.0009826809594648,0.0009826809594648,0.999999999999616,0.0001353,0.0237912619790161,346.45285,0.017949613,0.031586252,0.009205051,0.0001353
1,0.0009826809594648,0.0009826809594648,0.9999999999997085,0.00020981325,0.0245925772864284,252.4234,0.021245452,0.037477635,0.0041604596,0.00020981325
1,0.0010760674625645,0.0010760674625645,0.999999999999616,0.0003055187,0.0214332341752337,327.1089,0.017145831,0.030477703,0.009758233,0.0003055187
1,0.0010760674625645,0.0010760674625645,0.999999999999616,0.00032281422,0.0994486657916373,42.23663,0.022760756,0.04378712,0.0006685102,0.00032281422
1,0.0007937726886739,0.0007937726886739,0.9999999999998046,0.00034085102,0.0733058405569239,122.935165,0.045134924,0.06701457,0.011254643,0.00034085102
1,0.0009826809594648,0.0009826809594648,0.999999999999512,0.00035420817,0.027409353047755,139.00737,0.0027066336,0.005473735,0.09976091,0.00035420817
1,0.0008526035604942,0.0008526035604942,0.999999999999856,0.00048748893,0.0224093209424404,294.53473,0.0025906689,0.004880454,0.1230196,0.00048748893
1,0.0010760674625645,0.0010760674625645,0.9999999999997085,0.000492954,0.0243111706113964,311.31216,0.0128038265,0.023294553,0.02267254,0.000492954
